User,Gender,260: Star Wars,1210: Star Wars,356: Forrest,318: Shawshank,593: Silence,3578: Gladiator,1: Toy Story,2028: Saving,296: Pulp,1259: Stand,2396: Shakesp,2916: Total,780: Ind,541: Blade,1265: Gro,2571: Matrix,527: Schindle,2762: Sixth Sens,1198: Raiders,34: Babe
755,0,1,5,2,,4,4,2,2,,3,2,,5,2,,4,2,5,,
5277,0,5,3,,2,4,2,1,,,4,3,2,2,,2,,5,1,3,
1577,1,,,,5,2,,4,,,1,,1,4,4,1,1,2,3,1,3
4388,0,,3,,,,1,2,3,4,,,4,1,3,5,,5,1,1,2
1202,1,4,3,4,1,4,1,,4,,1,5,1,,4,,3,5,5,,
3823,1,2,4,4,4,,,3,1,4,4,5,2,4,,1,,,3,,2
5448,0,,,3,1,1,4,,5,2,,1,,,3,,1,,,5,2
5347,0,4,,,,3,2,2,,3,,,2,3,2,4,,1,3,5,
4117,1,5,1,,4,2,4,4,4,,1,2,3,1,,5,,,,,5
2765,0,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,
5450,1,2,1,5,,,5,5,,,,,3,2,,,1,,2,1,4
139,0,3,5,2,,2,,2,,1,,3,,3,,2,5,,,,2
1940,0,2,3,,5,4,,4,5,,,,2,4,,3,,,,5,
3118,1,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,
4656,1,4,4,,,5,5,2,,3,5,,1,3,,2,,3,,3,1
4796,1,,,1,,3,2,,2,,1,5,,,,5,2,2,4,3,4
6037,0,,,,,4,,2,,2,,2,,,,,4,,,,
3048,1,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5
4790,0,5,1,,,,4,2,1,3,3,3,1,,,,2,,,,
4489,0,1,2,2,4,5,,2,3,2,2,1,,,5,5,4,3,5,3,
